espacio_verde;equipamiento_urbano;;
area_protegida_visor;geodesia_y_demarcacion;;
centros_comunitarios;geografia_social;centros_comunitarios.svg;
desarrollo_infantil;geografia_social;desarrollo_infantil.svg;
edificio_salud_visor;geografia_social;edificio_salud_visor.svg;
edificio_religioso;geografia_social;edificio_religioso.svg;
edificio_gubernamental_visor;geografia_social;edificio_gubernamental_visor.svg;
farmacia;geografia_social;farmacia.svg;
sitio_interes;geografia_social;sitio_interes.svg;
cementerio;habitat_e_infraestructura_social;cementerio.svg;
monumento;habitat_e_infraestructura_social;monumento.svg;
actividad_deportiva;habitat_e_infraestructura_social;actividad_deportiva.svg;
edificio_cultura_visor;habitat_e_infraestructura_social;edificio_cultura_visor.svg;
edificio_comunicaciones;habitat_e_infraestructura_social;edificio_comunicaciones.svg;
canales_colectores;hidrografia_y_oceanografia;;
canales_riego;hidrografia_y_oceanografia;;
muro_embalse;hidrografia_y_oceanografia;muro_embalse.svg;
areas_de_fabricacion_y_procesamiento_visor;industria_y_servicios;;
estacion_de_servicio;industria_y_servicios;estacion_de_servicio.svg;
vivero_huerta;industria_y_servicios;vivero_huerta.svg;
area_potabilizadora_agua;industria_y_servicios;;
parcelas;planeamiento_y_catastro;;
puente;planeamiento_y_catastro;puente.svg;
barrios;planeamiento_y_catastro;;
conjunto_habitacional;planeamiento_y_catastro;;
barrio_privado;planeamiento_y_catastro;;
desmonte;relieve_y_suelo;;
edificio_educativo_visor;salud_y_educacion;edificio_educativo_visor.svg;
universidad_visor;salud_y_educacion;universidad_visor.svg;
edificio_seguridad_visor;seguridad;edificio_seguridad_visor.svg;
vial_nacional;transporte;;
vial_terciario;transporte;;
vial_urbano;transporte;;
estacion_de_omnibus;transporte;estacion_de_omnibus.svg;
puntos_de_transporte_ferroviario_visor;transporte;estacion_ferrocarril_visor.svg;
lineas_de_transporte_ferroviario_visor;transporte;;
aeropuerto_puntos_visor;transporte;aeropuerto_visor.svg;
plantacion_permanente;vegetacion_natural_y_de_cultivo;;
polygon_groca;gral_roca;;
polygon_groca;gral_roca;;
point_groca;gral_roca;;
point_groca;gral_roca;;
point_groca;gral_roca;;
point_groca;gral_roca;;
point_groca;gral_roca;;
point_groca;gral_roca;;
point_groca;gral_roca;;
point_groca;gral_roca;;
point_groca;gral_roca;;
point_groca;gral_roca;;
point_groca;gral_roca;;
point_groca;gral_roca;;
line_groca;gral_roca;;
line_groca;gral_roca;;
point_groca;gral_roca;;
polygon_groca;gral_roca;;
point_groca;gral_roca;;
point_groca;gral_roca;;
polygon_groca;gral_roca;;
polygon_groca;gral_roca;;
polygon_groca;gral_roca;;
polygon_groca;gral_roca;;
polygon_groca;gral_roca;;
polygon_groca;gral_roca;;
polygon_groca;gral_roca;;
point_groca;gral_roca;;
point_groca;gral_roca;;
point_groca;gral_roca;;
line_groca;gral_roca;;
line_groca;gral_roca;;
line_groca;gral_roca;;
point_groca;gral_roca;;
point_groca;gral_roca;;
line_groca;gral_roca;;
point_groca;gral_roca;;
polygon_groca;gral_roca;;
